Date Open High Low Close AdjClose Volume
2009-01-02 18,490000 18,490000 18,290001 18,400000 7,724421 7600
2009-01-05 18,490000 19,000000 18,309999 19,000000 7,976305 15700
2009-01-06 18,870001 19,500000 18,500000 19,299999 8,102245 28200
2009-01-07 20,000000 20,000000 18,570000 18,600000 7,808383 33400
2009-01-08 18,500000 19,000000 18,350000 18,700001 7,850362 17700
2009-01-09 18,500000 19,000000 18,000000 18,330000 7,695035 88000
2009-01-12 18,010000 18,350000 18,010000 18,350000 7,703430 5700
2009-01-13 18,299999 18,700001 18,299999 18,440001 7,741214 82200
2009-01-14 18,250000 18,299999 17,750000 18,000000 7,556499 26000
2009-01-15 17,750000 18,250000 17,500000 17,620001 7,396975 18100
2009-01-16 18,000000 19,500000 17,620001 19,500000 8,186209 11300
2009-01-20 18,240000 18,330000 17,510000 17,510000 7,350794 6600
2009-01-21 17,559999 18,180000 17,559999 18,150000 7,619468 131600
2009-01-22 18,190001 18,190001 17,000000 17,500000 7,346597 8700
2009-01-23 17,129999 18,000000 17,129999 17,760000 7,455746 73400
2009-01-26 17,540001 17,850000 17,260000 17,650000 7,409567 7200
2009-01-27 17,650000 17,650000 17,000000 17,500000 7,346597 18500
2009-01-28 17,469999 18,230000 16,440001 17,620001 7,396975 28900
2009-01-29 16,950001 17,320000 16,850000 16,969999 7,124100 147900
2009-01-30 16,850000 17,299999 16,500000 16,809999 7,056931 21300
2009-02-02 16,709999 16,709999 16,000000 16,480000 6,918395 34600
2009-02-03 16,750000 16,750000 16,360001 16,580000 6,960375 12500
2009-02-04 19,000000 19,000000 16,610001 16,750000 7,031742 6600
2009-02-05 16,840000 17,500000 16,670000 17,500000 7,346597 6600
2009-02-06 17,340000 17,900000 16,549999 17,000000 7,136693 70500
2009-02-09 17,370001 17,950001 17,350000 17,450001 7,325608 83400
2009-02-10 17,440001 17,440001 16,860001 17,160000 7,203862 19800
2009-02-11 16,900000 16,900000 16,650000 16,650000 6,989761 9000
2009-02-12 16,500000 17,459999 16,500000 16,750000 7,031742 49400
2009-02-13 16,750000 17,500000 16,750000 17,110001 7,182873 19900
2009-02-17 15,740000 17,110001 15,740000 16,740000 7,027543 278600
2009-02-18 16,750000 16,750000 16,260000 16,330000 6,855423 49300
2009-02-19 16,080000 16,389999 16,000000 16,370001 6,872218 39900
2009-02-20 15,920000 15,950000 15,300000 15,770000 6,620333 20900
2009-02-23 15,900000 15,960000 15,280000 15,310000 6,427221 21000
2009-02-24 15,310000 16,250000 15,310000 16,049999 6,737880 13500
2009-02-25 15,320000 15,900000 15,320000 15,560000 6,532175 10100
2009-02-26 16,110001 16,500000 16,110001 16,340000 6,859622 19200
2009-02-27 16,290001 16,580000 15,840000 15,850000 6,653917 5100
2009-03-02 15,500000 16,490000 15,500000 16,250000 6,821839 26900
2009-03-03 16,049999 16,049999 15,680000 15,980000 6,708493 25900
2009-03-04 16,200001 16,879999 16,200001 16,879999 7,086317 20300
2009-03-05 16,280001 16,280001 15,500000 15,660000 6,574154 14600
2009-03-06 16,100000 16,400000 15,930000 16,000000 6,716887 9800
2009-03-09 16,209999 16,490000 16,049999 16,190001 6,796651 80700
2009-03-10 16,190001 16,830000 16,190001 16,680000 7,002356 32500
2009-03-11 16,990000 16,990000 16,500000 16,600000 6,968772 19300
2009-03-12 16,610001 17,379999 16,610001 17,219999 7,229050 167900
2009-03-13 17,200001 17,219999 17,070000 17,129999 7,191268 10500
2009-03-16 17,250000 17,770000 17,000000 17,000000 7,136693 75800
2009-03-17 16,139999 17,690001 15,000000 17,690001 7,426360 16000
2009-03-18 17,500000 17,980000 17,500000 17,980000 7,548103 9900
2009-03-19 18,000000 18,750000 18,000000 18,490000 7,762204 91800
2009-03-20 18,250000 18,490000 17,750000 18,320000 7,690837 43400
2009-03-23 18,500000 19,000000 18,350000 18,700001 7,850362 39500
2009-03-24 18,799999 18,799999 17,530001 18,209999 7,644660 16300
2009-03-25 17,900000 18,080000 17,299999 17,299999 7,262634 40100
2009-03-26 17,549999 17,940001 17,500000 17,840000 7,489330 16700
2009-03-27 17,580000 17,990000 17,059999 17,110001 7,182873 155300
2009-03-30 16,750000 17,049999 15,010000 16,920000 7,103108 169500
2009-03-31 17,000000 17,000000 16,500000 16,500000 6,926790 44100
2009-04-01 16,410000 17,240000 16,160000 17,240000 7,237447 28900
2009-04-02 17,719999 17,790001 17,469999 17,590000 7,384379 80600
2009-04-03 17,799999 18,020000 17,660000 17,900000 7,514517 225800
2009-04-06 17,910000 18,129999 17,559999 17,750000 7,451546 47100
2009-04-07 17,770000 18,080000 17,690001 17,959999 7,539708 24100
2009-04-08 19,400000 19,400000 17,910000 17,959999 7,539708 27900
2009-04-09 18,170000 18,280001 17,889999 18,219999 7,648857 6000
2009-04-13 18,000000 18,000000 17,120001 17,900000 7,639040 91700
2009-04-14 18,059999 18,059999 17,620001 17,990000 7,677451 23100
2009-04-15 18,040001 18,040001 17,770000 17,990000 7,677451 16100
2009-04-16 18,230000 18,379999 18,209999 18,219999 7,775605 22000
2009-04-17 19,360001 19,360001 18,030001 18,100000 7,724394 18300
2009-04-20 18,000000 18,000000 17,500000 17,500000 7,468336 12800
2009-04-21 17,840000 18,100000 17,510000 17,530001 7,481140 13000
2009-04-22 17,590000 18,770000 17,590000 18,500000 7,895098 23400
2009-04-23 18,280001 18,629999 18,000000 18,170000 7,754266 22900
2009-04-24 18,000000 18,760000 18,000000 18,730000 7,993256 77900
2009-04-27 18,750000 18,750000 18,129999 18,330000 7,822547 27200
2009-04-28 18,240000 18,250000 17,719999 17,840000 7,613435 19600
2009-04-29 18,200001 18,680000 18,200001 18,340000 7,826816 28500
2009-04-30 18,690001 18,900000 18,000000 18,010000 7,685986 20600
2009-05-01 18,000000 18,930000 17,730000 18,900000 8,065803 30700
2009-05-04 19,820000 19,820000 18,719999 19,150000 8,172494 42400
2009-05-05 19,110001 19,500000 18,889999 19,340000 8,253577 21300
2009-05-06 19,389999 19,500000 19,110001 19,270000 8,223704 13800
2009-05-07 20,340000 20,340000 19,570000 20,049999 8,556580 63800
2009-05-08 20,480000 21,000000 20,299999 20,990000 8,957735 99100
2009-05-11 20,990000 21,629999 20,090000 20,280001 8,654735 68600
2009-05-12 20,549999 20,900000 20,450001 20,670000 8,821172 28300
2009-05-13 22,280001 22,280001 20,000000 20,040001 8,552314 34500
2009-05-14 20,500000 20,990000 20,049999 20,469999 8,735821 99300
2009-05-15 21,260000 21,260000 19,840000 20,480000 8,740088 38000
2009-05-18 19,290001 20,940001 19,290001 20,730000 8,846779 36100
2009-05-19 20,610001 21,320000 20,610001 21,129999 9,017483 8900
2009-05-20 21,500000 22,059999 21,160000 21,459999 9,158315 56400
2009-05-21 21,190001 21,350000 20,930000 20,930000 8,932129 18200
2009-05-22 21,209999 21,549999 21,000000 21,540001 9,192454 29300
2009-05-26 21,250000 21,500000 20,850000 21,379999 9,124173 22800
2009-05-27 21,370001 21,379999 20,850000 21,230000 9,060159 79500
2009-05-28 21,350000 22,240000 21,340000 22,160000 9,457049 118500
2009-05-29 23,670000 23,670000 22,240000 22,290001 9,512527 112200
2009-06-01 22,250000 23,799999 22,250000 23,340000 9,960627 73300
2009-06-02 23,330000 23,820000 23,020000 23,750000 10,135598 51100
2009-06-03 23,549999 23,549999 22,430000 22,770000 9,717373 23800
2009-06-04 22,860001 24,000000 22,860001 24,000000 10,242290 50900
2009-06-05 23,770000 24,000000 23,070000 23,740000 10,131333 40000
2009-06-08 22,350000 23,559999 22,350000 23,219999 9,909414 98800
2009-06-09 23,290001 23,700001 23,120001 23,510000 10,033175 57500
2009-06-10 23,639999 24,030001 23,389999 23,940001 10,216683 43200
2009-06-11 23,080000 24,950001 23,080000 24,889999 10,622107 38100
2009-06-12 24,420000 25,000000 24,410000 24,770000 10,570897 19300
2009-06-15 24,650000 24,830000 24,309999 24,430000 10,425797 12400
2009-06-16 24,430000 25,000000 23,820000 23,900000 10,199614 64000
2009-06-17 23,760000 24,000000 23,240000 23,700001 10,114262 81500
2009-06-18 23,850000 24,610001 23,830000 24,500000 10,455672 48500
2009-06-19 24,510000 24,730000 23,889999 24,360001 10,395926 20400
2009-06-22 24,190001 24,190001 23,209999 23,490000 10,024641 23200
2009-06-23 23,290001 24,280001 22,580000 24,000000 10,242290 138300
2009-06-24 22,850000 23,980000 22,850000 23,200001 9,900881 50300
2009-06-25 22,920000 23,790001 22,900000 23,469999 10,016106 61900
2009-06-26 24,500000 24,500000 23,370001 23,969999 10,229485 30100
2009-06-29 24,959999 24,959999 22,129999 24,620001 10,506883 40500
2009-06-30 24,850000 24,850000 23,799999 24,389999 10,408728 69100
2009-07-01 24,840000 25,100000 24,420000 25,100000 10,711727 40400
2009-07-02 24,940001 25,000000 24,129999 24,430000 10,425797 20300
2009-07-06 22,510000 24,799999 22,510000 24,639999 10,515417 53000
2009-07-07 24,940001 24,940001 23,799999 23,799999 10,156939 50800
2009-07-08 24,150000 24,790001 24,000000 24,000000 10,242290 44100
2009-07-09 24,320000 24,320000 23,330000 23,639999 10,088655 21200
2009-07-10 23,490000 24,230000 23,139999 24,230000 10,340446 59000
2009-07-13 24,100000 24,700001 23,570000 24,500000 10,455672 36100
2009-07-14 24,620001 24,709999 24,200001 24,350000 10,391657 11600
2009-07-15 25,150000 25,590000 25,020000 25,350000 10,818415 83900
2009-07-16 25,379999 25,920000 25,250000 25,469999 10,869630 37600
2009-07-17 24,580000 26,850000 24,580000 26,480000 11,300658 62800
2009-07-20 26,780001 27,320000 26,540001 27,020000 11,531113 46200
2009-07-21 26,969999 27,000000 26,700001 26,879999 11,471363 14800
2009-07-22 26,879999 27,150000 26,799999 27,100000 11,565254 21800
2009-07-23 27,240000 29,000000 27,219999 28,770000 12,277946 125300
2009-07-24 28,500000 28,740000 27,950001 28,549999 12,184056 116100
2009-07-27 29,780001 29,780001 27,450001 27,920000 11,915195 71300
2009-07-28 27,680000 27,680000 26,600000 27,139999 11,582321 77600
2009-07-29 26,320000 26,610001 25,660000 26,250000 11,202503 76400
2009-07-30 25,010000 27,549999 24,230000 27,379999 11,684744 58400
2009-07-31 26,700001 27,830000 26,620001 27,570000 11,765830 29800
2009-08-03 27,600000 28,290001 27,600000 28,049999 11,970675 78100
2009-08-04 28,100000 28,270000 28,000000 28,129999 12,004816 18100
2009-08-05 28,190001 28,200001 27,559999 28,129999 12,004816 54500
2009-08-06 28,480000 28,480000 27,530001 28,059999 11,974942 43800
2009-08-07 28,180000 28,200001 28,000000 28,190001 12,030422 21200
2009-08-10 27,900000 28,180000 27,620001 28,180000 12,026156 11700
2009-08-11 27,730000 27,730000 27,049999 27,230000 11,620730 44100
2009-08-12 26,940001 27,180000 26,420000 26,950001 11,775847 60000
2009-08-13 27,410000 28,139999 27,100000 27,850000 12,169106 24100
2009-08-14 27,660000 27,990000 26,930000 27,559999 12,042389 25300
2009-08-17 26,510000 27,540001 26,219999 26,500000 11,579222 36800
2009-08-18 26,629999 26,980000 26,400000 26,410000 11,539891 42800
2009-08-19 26,230000 27,299999 26,230000 27,180000 11,876348 99400
2009-08-20 27,330000 27,330000 27,010000 27,250000 11,906933 22300
2009-08-21 27,580000 27,930000 27,299999 27,700001 12,103562 65800
2009-08-24 28,290001 28,290001 27,030001 27,590000 12,055501 33000
2009-08-25 27,379999 27,840000 27,040001 27,400000 11,972476 14900
2009-08-26 27,260000 27,260000 26,430000 26,879999 11,745263 33600
2009-08-27 26,540001 27,059999 26,000000 27,040001 11,815177 24600
2009-08-28 27,059999 27,200001 26,170000 26,580000 11,614178 20700
2009-08-31 26,049999 26,110001 25,750000 25,900000 11,317048 37800
2009-09-01 25,750000 26,070000 24,730000 24,920000 10,888836 84000
2009-09-02 24,620001 25,750000 24,610001 25,549999 11,164117 67600
2009-09-03 25,809999 26,180000 25,799999 26,090000 11,400071 39600
2009-09-04 26,010000 27,990000 26,000000 26,410000 11,539891 43900
2009-09-08 27,000000 27,990000 26,549999 27,799999 12,147259 63400
2009-09-09 27,799999 27,799999 26,770000 26,969999 11,784588 65700
2009-09-10 26,930000 27,020000 26,330000 27,020000 11,806436 59200
